category,code,name,parent
council area,GB-WDU,West Dunbartonshire,GB-SCT
council area,GB-WLN,West Lothian,GB-SCT
unitary authority,GB-WNH*,West Northamptonshire,GB-ENG
two-tier county,GB-WSX,West Sussex,GB-ENG
London borough,GB-WSM,Westminster,GB-ENG
metropolitan district,GB-WGN,Wigan,GB-ENG
unitary authority,GB-WIL,Wiltshire,GB-ENG
unitary authority,GB-WNM,Windsor and Maidenhead,GB-ENG
metropolitan district,GB-WRL,Wirral,GB-ENG
unitary authority,GB-WOK,Wokingham,GB-ENG
metropolitan district,GB-WLV,Wolverhampton,GB-ENG
two-tier county,GB-WOR,Worcestershire,GB-ENG
unitary authority,GB-WRX,Wrexham [Wrecsam GB-WRC],GB-WLS
unitary authority,GB-YOR,York,GB-ENG
